DataSourceKey,DataSourceName,StoredProcedureName,DataSourceType,DatabaseName,ModuleGroup,ModuleName,InputCount,OutputCount,ReadRowLimit,GlobalAllow,SelfServiceable,Description,AddDate,UpdateDate
20887,Part_Revision_Update (Part),Part_Revision_Update,Stored Procedure,Part,,,6,0,1000,false,0,,2015-09-04T18:09:01.08Z,
16600,Part_Routing_Management_Get (Part),Part_Routing_Management_Get,Stored Procedure,Part,Engineering,Part List,8,10,1000,true,1,,2015-09-04T17:10:20.863Z,
21005,Part_Setup_Get (Part),Part_Setup_Get,Stored Procedure,Part,,,1,7,1000,false,0,,2015-09-04T18:09:27.973Z,
21007,Part_Setup_Update (Part),Part_Setup_Update,Stored Procedure,Part,,,6,0,1000,false,0,,2015-09-04T18:09:28.4Z,
13139,Part_Shelf_Life_Add (Part),Part_Shelf_Life_Add,Stored Procedure,Part,,,7,2,1000,false,0,,2015-04-17T16:01:07.477Z,2016-02-29T18:48:08.427Z
13141,Part_Shelf_Life_Delete (Part),Part_Shelf_Life_Delete,Stored Procedure,Part,,,2,1,1000,false,0,,2015-04-17T16:01:53.853Z,2015-09-04T18:05:17.343Z
9633,Part_Shelf_Life_Get (Part),Part_Shelf_Life_Get,Stored Procedure,Part,,,2,11,1000,false,0,,2015-01-08T14:34:29.86Z,2016-02-29T12:59:38.503Z
27390,Part_Shelf_Life_Get_Part_Shelf_Life_Key (Part),Part_Shelf_Life_Get_Part_Shelf_Life_Key,Stored Procedure,Part,,,1,11,1000,false,0,,2016-02-29T20:24:49.247Z,2016-03-01T12:18:58.567Z
13140,Part_Shelf_Life_Update (Part),Part_Shelf_Life_Update,Stored Procedure,Part,,,8,1,1000,false,0,,2015-04-17T16:01:31.433Z,2015-09-04T18:05:17.297Z
19043,Part_Shelf_Life_Upload (Part),Part_Shelf_Life_Upload,Stored Procedure,Part,,,9,0,1000,false,0,,2015-09-04T17:40:44.73Z,2015-11-20T09:46:59.77Z
19042,Part_Shelf_Life_Upload_Field_Validation (Part),Part_Shelf_Life_Upload_Field_Validation,Stored Procedure,Part,,,6,6,1000,false,0,,2015-09-04T17:40:44.61Z,2015-10-22T12:04:51.813Z
17912,Part_Shelf_Lives_Get (Part),Part_Shelf_Lives_Get,Stored Procedure,Part,,,3,6,1000,false,0,,2015-09-04T17:27:07.297Z,
13128,Part_Shelf_Lives_Get_By_Part_Key (Part),Part_Shelf_Lives_Get_By_Part_Key,Stored Procedure,Part,,,1,12,1000,false,0,,2015-04-17T11:13:26.06Z,2016-03-04T17:39:12.957Z
19566,Part_Source_Class_Get (Part),Part_Source_Class_Get,Stored Procedure,Part,Engineering,Part List,1,2,1000,false,0,,2015-09-04T17:56:15.997Z,
19553,Part_Source_Key_Get (Part),Part_Source_Key_Get,Stored Procedure,Part,Engineering,Part List,1,3,1000,false,0,,2015-09-04T17:56:12.773Z,
786,Part_Sources_Get (Part),Part_Sources_Get,Stored Procedure,Part,Engineering,Part List,2,2,1000,true,1,,2014-02-18T17:34:31.123Z,2015-09-04T16:41:47.387Z
17412,Part_Standard_Attribute_Grid_Get (Part),Part_Standard_Attribute_Grid_Get,Stored Procedure,Part,Engineering,Part List,2,10,1000,false,0,,2015-09-04T17:21:15.163Z,
17415,Part_Standard_Attribute_Value_Add (Part),Part_Standard_Attribute_Value_Add,Stored Procedure,Part,Engineering,Part List,3,0,1000,false,0,,2015-09-04T17:21:15.467Z,
17414,Part_Standard_Attribute_Value_Delete (Part),Part_Standard_Attribute_Value_Delete,Stored Procedure,Part,Engineering,Part List,1,0,1000,false,0,,2015-09-04T17:21:15.44Z,
17413,Part_Standard_Attribute_Value_Picker_Get (Part),Part_Standard_Attribute_Value_Picker_Get,Stored Procedure,Part,Engineering,Part List,2,2,1000,false,0,,2015-09-04T17:21:15.38Z,
17416,Part_Standard_Attribute_Value_Update (Part),Part_Standard_Attribute_Value_Update,Stored Procedure,Part,Engineering,Part List,3,0,1000,false,0,,2015-09-04T17:21:15.497Z,
21092,Part_Status_Analysis_Get (Part),Part_Status_Analysis_Get,Stored Procedure,Part,Engineering,Part List,2,11,1000,false,0,,2015-09-04T18:09:49.423Z,
27591,Part_Status_By_Keys_Get (Part),Part_Status_By_Keys_Get,Stored Procedure,Part,Engineering,Part List,1,4,1000,false,0,,2016-04-14T13:34:56.593Z,2016-04-14T13:36:55.983Z
28583,Part_Status_Change_Validation (Part),Part_Status_Change_Validation,Stored Procedure,Part,Engineering,Part List,2,4,1000,false,0,,2017-01-18T16:16:29.62Z,2017-01-25T18:08:21.623Z
591,Part_Status_Get (Part),Part_Status_Get,Stored Procedure,Part,Engineering,Part List,1,7,1000,true,1,,2014-02-07T18:10:04.33Z,2022-05-17T11:59:53.577Z
647,Part_Status_Permission_Get (Part),Part_Status_Permission_Get,Stored Procedure,Part,Engineering,Part List,1,1,1000,false,0,,2014-02-11T16:58:40.727Z,2015-09-04T18:12:12.59Z
592,Part_Statuses_Get (Part),Part_Statuses_Get,Stored Procedure,Part,Engineering,Part List,2,8,1000,true,1,,2014-02-07T14:19:13.98Z,2021-03-30T12:29:41.027Z
239613,Part_Storage_Condition_Get (Part),Part_Storage_Condition_Get,Stored Procedure,Part,Inventory,Storage Validation,1,7,1000,true,0,,2026-02-17T13:33:16.433Z,2026-02-17T13:33:49.847Z
4959,Part_Stream_Multi_Picker_Get (Part),Part_Stream_Multi_Picker_Get,Stored Procedure,Part,,,3,2,1000,false,0,,2014-08-11T11:11:52.237Z,2015-09-04T17:14:11.19Z
16737,Part_SubAssemblies_Get (Part),Part_SubAssemblies_Get,Stored Procedure,Part,,,2,10,1000,false,0,,2015-09-04T17:11:34.553Z,
231473,Part_Substitution_Add (Part),Part_Substitution_Add,Stored Procedure,Part,,,7,1,1000,false,0,,2019-07-22T15:48:22.17Z,2024-10-01T12:07:43.583Z
231433,Part_Substitution_Allowed_Get (Part),Part_Substitution_Allowed_Get,Stored Procedure,Part,,,2,1,1000,false,0,,2019-07-15T13:09:55.573Z,2019-09-17T13:30:49.597Z
231434,Part_Substitution_Control_Panel_Parts_Picker_Get (Part),Part_Substitution_Control_Panel_Parts_Picker_Get,Stored Procedure,Part,Production Tracking,Control Panel,3,8,1000,false,0,,2019-07-15T13:10:15.02Z,2019-09-17T13:28:44.443Z
231474,Part_Substitution_Delete (Part),Part_Substitution_Delete,Stored Procedure,Part,,,1,0,1000,false,0,,2019-07-22T15:51:43.813Z,
